"","GO.ID","Term","KS"
"1","GO:1903047","mitotic cell cycle process","0.00013"
"2","GO:0022402","cell cycle process","0.00013"
"3","GO:0044770","cell cycle phase transition","0.00049"
"4","GO:0044772","mitotic cell cycle phase transition","0.00049"
"5","GO:0000278","mitotic cell cycle","0.00065"
"6","GO:0051726","regulation of cell cycle","0.00066"
"7","GO:0045786","negative regulation of cell cycle","0.00186"
"8","GO:0007049","cell cycle","0.00196"
"9","GO:0010564","regulation of cell cycle process","0.00430"
"10","GO:0007179","transforming growth factor beta receptor...","0.00656"
"11","GO:0022402","cell cycle process","0.010"
"12","GO:0007178","transmembrane receptor protein serine/th...","0.011"
"13","GO:0007179","transforming growth factor beta receptor...","0.012"
"14","GO:0008645","hexose transmembrane transport","0.013"
"15","GO:0015749","monosaccharide transmembrane transport","0.013"
"16","GO:1904659","glucose transmembrane transport","0.013"
"17","GO:1903047","mitotic cell cycle process","0.014"
"18","GO:0034622","cellular protein-containing complex asse...","0.016"
"19","GO:0065003","protein-containing complex assembly","0.017"
"20","GO:0000280","nuclear division","0.017"
"21","GO:0022402","cell cycle process","0.00088"
"22","GO:1903047","mitotic cell cycle process","0.00301"
"23","GO:0007049","cell cycle","0.00424"
"24","GO:0051726","regulation of cell cycle","0.00500"
"25","GO:0000278","mitotic cell cycle","0.00929"
"26","GO:0007179","transforming growth factor beta receptor...","0.01261"
"27","GO:0045137","development of primary sexual characteri...","0.01277"
"28","GO:1905330","regulation of morphogenesis of an epithe...","0.01401"
"29","GO:0065003","protein-containing complex assembly","0.01544"
"30","GO:0007178","transmembrane receptor protein serine/th...","0.01768"
"31","GO:0022402","cell cycle process","0.00098"
"32","GO:0007179","transforming growth factor beta receptor...","0.00156"
"33","GO:0006732","coenzyme metabolic process","0.00241"
"34","GO:0007049","cell cycle","0.00499"
"35","GO:0071559","response to transforming growth factor b...","0.01086"
"36","GO:0071560","cellular response to transforming growth...","0.01086"
"37","GO:0051726","regulation of cell cycle","0.01217"
"38","GO:0032868","response to insulin","0.01419"
"39","GO:0031214","biomineral tissue development","0.01509"
"40","GO:0110148","biomineralization","0.01509"
"41","GO:0022402","cell cycle process","0.00025"
"42","GO:0051726","regulation of cell cycle","0.00059"
"43","GO:1903047","mitotic cell cycle process","0.00101"
"44","GO:0044770","cell cycle phase transition","0.00110"
"45","GO:0044772","mitotic cell cycle phase transition","0.00110"
"46","GO:0000278","mitotic cell cycle","0.00124"
"47","GO:0007049","cell cycle","0.00234"
"48","GO:0032924","activin receptor signaling pathway","0.00272"
"49","GO:0010564","regulation of cell cycle process","0.00298"
